GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
3072,SIP/41.204.96.174/933430720 ,FRED,SIMBOX,AIRTEL,GOIP106,s1-192.168.0.106,2,
3073,SIP/41.204.96.174/933430730 ,FRED,SIMBOX,AIRTEL,GOIP106,s1-192.168.0.106,3,
3074,SIP/41.204.96.174/933430740 ,FRED,SIMBOX,AIRTEL,GOIP106,s1-192.168.0.106,4,
3075,SIP/41.204.96.174/933430750 ,FRED,SIMBOX,AIRTEL,GOIP106,s1-192.168.0.106,5,
3076,SIP/41.204.96.174/933430760 ,FRED,SIMBOX,AIRTEL,GOIP106,s1-192.168.0.106,6,
3077,SIP/41.204.96.174/933430770 ,FRED,SIMBOX,AIRTEL,GOIP106,s1-192.168.0.106,7,
3078,SIP/41.204.96.174/933430780 ,FRED,SIMBOX,AIRTEL,GOIP106,s1-192.168.0.106,8,
3081,SIP/41.204.96.174/933430810 ,FRED,SIMBOX,AIRTEL,GOIP14,s3-192.168.0.103,1,
3082,SIP/41.204.96.174/933430820 ,FRED,SIMBOX,AIRTEL,GOIP14,s3-192.168.0.103,2,
3083,SIP/41.204.96.174/933430830 ,FRED,SIMBOX,AIRTEL,GOIP14,s3-192.168.0.103,3,
3084,SIP/41.204.96.174/933430840 ,FRED,SIMBOX,AIRTEL,GOIP14,s3-192.168.0.103,4,
3085,SIP/41.204.96.174/933430850 ,FRED,SIMBOX,AIRTEL,GOIP14,s3-192.168.0.103,5,
3086,SIP/41.204.96.174/933430860 ,FRED,SIMBOX,AIRTEL,GOIP14,s3-192.168.0.103,6,
3087,SIP/41.204.96.174/933430870 ,FRED,SIMBOX,AIRTEL,GOIP14,s3-192.168.0.103,7,
3088,SIP/41.204.96.174/933430880 ,FRED,SIMBOX,AIRTEL,GOIP14,s3-192.168.0.103,8,
3511,SIP/41.204.96.185/933435110 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.27,1,
